Stipend,Title_Length,Company_Length,Location_Length,Location_Bangalore,Location_Chandigarh,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Greater Noida,Location_Guwahati,Location_Hyderabad,Location_Mohali,Location_Mumbai,Location_Noida,Location_Work From Home,Avg_Stipend
5000.0,14,7,14,0,0,0,0,0,0,0,0,0,0,0,1,5000.0
10000.0,25,22,14,0,0,0,0,0,0,0,0,0,0,0,1,10000.0
20000.0,10,26,9,1,0,0,0,0,0,0,0,0,0,0,0,20000.0
10000.0,9,35,7,0,0,1,0,0,0,0,0,0,0,0,0,10000.0
4000.0,31,33,10,0,0,0,1,0,0,0,0,0,0,0,0,4000.0
6000.0,12,11,14,0,0,0,0,0,0,0,0,0,0,0,1,5500.0
8000.0,18,23,5,0,0,0,0,1,0,0,0,0,0,0,0,8000.0
1000.0,14,37,14,0,0,0,0,0,0,0,0,0,0,0,1,1000.0
12000.0,12,50,7,0,0,1,0,0,0,0,0,0,0,0,0,12000.0
5000.0,14,18,8,0,0,0,0,0,0,1,0,0,0,0,0,5000.0
10000.0,10,9,6,0,0,0,0,0,0,0,0,0,1,0,0,10000.0
10000.0,15,20,6,0,0,0,0,0,0,0,0,1,0,0,0,10000.0
15000.0,32,20,10,0,1,0,0,0,0,0,0,0,0,0,0,15000.0
10000.0,12,6,6,0,0,0,0,0,0,0,0,0,1,0,0,10000.0
3000.0,19,70,14,0,0,0,0,0,0,0,0,0,0,0,1,3000.0
5000.0,12,11,14,0,0,0,0,0,0,0,0,0,0,0,1,5500.0
8000.0,69,28,13,0,0,0,0,0,1,0,0,0,0,0,0,8000.0
10000.0,9,59,9,1,0,0,0,0,0,0,0,0,0,0,0,10000.0
4000.0,18,13,14,0,0,0,0,0,0,0,0,0,0,0,1,4000.0
10000.0,30,12,9,1,0,0,0,0,0,0,0,0,0,0,0,10000.0
6000.0,16,30,14,0,0,0,0,0,0,0,0,0,0,0,1,6000.0
,15,45,14,0,0,0,0,0,0,0,0,0,0,0,1,
10000.0,15,14,9,0,0,0,0,0,0,0,1,0,0,0,0,10000.0
10000.0,32,7,14,0,0,0,0,0,0,0,0,0,0,0,1,10000.0
20000.0,19,47,9,0,0,0,0,0,0,0,1,0,0,0,0,20000.0
15000.0,14,15,6,0,0,0,0,0,0,0,0,1,0,0,0,15000.0
30000.0,14,7,6,0,0,0,0,0,0,0,0,0,1,0,0,30000.0
3000.0,17,70,14,0,0,0,0,0,0,0,0,0,0,0,1,3000.0
3000.0,14,9,14,0,0,0,0,0,0,0,0,0,0,0,1,3000.0
3000.0,27,41,9,0,0,0,0,0,0,0,1,0,0,0,0,3000.0
5000.0,21,17,14,0,0,0,0,0,0,0,0,0,0,0,1,5000.0
5000.0,21,11,9,1,0,0,0,0,0,0,0,0,0,0,0,5000.0
8000.0,18,13,14,0,0,0,0,0,0,0,0,0,0,0,1,8000.0
8000.0,40,29,14,0,0,0,0,0,0,0,0,0,0,0,1,8000.0
5000.0,31,5,5,0,0,0,0,0,0,0,0,0,0,1,0,5000.0
10000.0,12,9,14,0,0,0,0,0,0,0,0,0,0,0,1,10000.0
1500.0,13,34,14,0,0,0,0,0,0,0,0,0,0,0,1,1500.0
8000.0,16,22,14,0,0,0,0,0,0,0,0,0,0,0,1,8000.0
2000.0,14,36,9,0,0,0,0,0,0,0,1,0,0,0,0,2000.0
25000.0,17,9,9,1,0,0,0,0,0,0,0,0,0,0,0,25000.0
