Title,Company,Location,Stipend
Data Analytics,Hirific,Work From Home,"5,000-10,000 /month"
Technical Content Writing,Bizibots Solutions LLP,Work From Home,"10,000 /month +  Incentives"
Operations,Yulu Bikes Private Limited,Bangalore,"20,000 /month"
Mentoring,GUVI Geek Networks (IITM Incubated),Chennai,"10,000-15,000 /month"
Data Science (Machine Learning),Techvolt Software Private Limited,Coimbatore,"4,000 /month"
Data Science,Blackcoffer,Work From Home,"6,000-12,000 /month"
Data Visualization,Jambudweep Shodh Kendra,Delhi,"8,000-12,000 /month"
Data Analytics,Conscript HR Advisors Private Limited,Work From Home,"1,000 /month"
Data Science,AssetPlus (ValuePlus Technologies Private Limited),Chennai,"12,000 /month"
Data Analytics,Primary Healthtech,Guwahati,"5,000-10,000 /month"
Operations,Next Labs,Mumbai,"10,000 /month"
NLP Engineering,Relinns Technologies,Mohali,"10,000 /month"
Data Analysis (Nudge-IAF Punjab),The Nudge Foundation,Chandigarh,"15,000-25,000 /month"
Data Science,Faclon,Mumbai,"10,000-12,000 /month"
Business Analysis-2,InGen Dynamics Inc. (Part Of AH Dynamics And Robotics Private Limited),Work From Home,"3,000 lump sum"
UI/UX Design,Blackcoffer,Work From Home,"5,000 /month"
"Social Media Marketing Internship (in office) in Greater Noida, Noida",Tobron Knits Private Limited,Greater Noida,"8,000-12,000 /month"
Analytics,ExxpertSCM (A Unit Of Thoughtware Training Private Limited),Bangalore,"10,000-12,500 /month"
Business Analytics,ERP Launchpad,Work From Home,"4,000 /month"
Data Science (Advanced Python),TerraBlue XT,Bangalore,"10,000 /month"
Machine Learning,Cats In Lab Coats Technologies,Work From Home,"6,000 /month"
Content Analyst,GreenBhumi (A TopTrove Foundation Initiative),Work From Home,Unpaid
Data Management,WeMakeScholars,Hyderabad,"10,000 /month"
Deep Learning/Python Development,Artenal,Work From Home,"10,000 /month +  Incentives"
Corporate Relations,NxtWave Disruptive Technologies Private Limited,Hyderabad,"20,000-25,000 /month"
Data Analytics,Brighter Beings,Mohali,"15,000 /month"
Data Analytics,UniAcco,Mumbai,"30,000-40,000 /month"
Business Analysis,InGen Dynamics Inc. (Part Of AH Dynamics And Robotics Private Limited),Work From Home,"3,000 lump sum"
Data Analytics,HappiMynd,Work From Home,"3,000-5,000 /month"
Robotics & Machine Learning,Lkube Sports And Projects Private Limited,Hyderabad,"3,000-10,000 /month"
Data Science/Analysis,Nocturne Ventures,Work From Home,"5,000-20,000 /month"
Quantitative Analysis,Sunay Mehta,Bangalore,"5,000-25,000 /month"
Business Analytics,ThinksyBrains,Work From Home,"8,000-12,000 /month"
Artificial Intelligence (AI) Engineering,Ostello India Private Limited,Work From Home,"8,000-15,000 /month"
Machine Learning (Object/Video),W3Dev,Noida,"5,000-8,000 /month"
Data Science,StudyMonk,Work From Home,"10,000-20,000 /month"
Data Analysis,Alphanumeric Ideas Private Limited,Work From Home,"1,500-3,000 /month"
Machine Learning,DataFlair Web Services,Work From Home,"8,000-15,000 /month"
